"subj_idx","match","val","id","stim","response","rt"
7304,"mismatch","Bad","Other",0,1,0.7247
7304,"mismatch","Bad","Self",0,0,0.8786
7304,"match","Good","Other",1,1,0.8167
7304,"match","Bad","Other",1,0,0.8728
7304,"mismatch","Good","Other",0,1,0.6849
7304,"mismatch","Bad","Self",0,1,0.6951
7304,"match","Good","Self",1,1,0.4951
7304,"match","Bad","Other",1,0,0.8713
7304,"match","Good","Self",1,1,0.5954
7304,"match","Bad","Other",1,1,0.6875
7304,"mismatch","Good","Self",0,0,0.6796
7304,"mismatch","Good","Other",0,1,0.8177
7304,"match","Bad","Self",1,0,0.7439
7304,"mismatch","Good","Self",0,1,0.35
7304,"mismatch","Bad","Other",0,1,0.7582
7304,"mismatch","Good","Self",0,0,0.7363
7304,"match","Bad","Self",1,0,0.8926
7304,"match","Good","Other",1,0,0.8527
7304,"mismatch","Good","Other",0,1,0.6848
7304,"match","Bad","Self",1,0,0.407
7304,"match","Good","Self",1,1,0.3611
7304,"match","Good","Other",1,1,0.9631
7304,"match","Bad","Other",1,0,0.7173
7304,"mismatch","Bad","Self",0,0,0.7514
7304,"mismatch","Good","Other",0,0,0.9234
7304,"mismatch","Good","Other",0,0,0.5976
7304,"mismatch","Bad","Self",0,0,0.7138
7304,"match","Bad","Self",1,1,0.7979
7304,"mismatch","Good","Self",0,1,0.48
7304,"mismatch","Bad","Other",0,0,0.6661
7304,"match","Good","Self",1,1,0.6882
7304,"match","Good","Other",1,0,0.6884
7304,"match","Bad","Other",1,1,0.8164
7304,"mismatch","Bad","Self",0,0,0.6246
7304,"mismatch","Bad","Other",0,0,0.8146
7304,"match","Good","Other",1,1,0.6148
7304,"match","Bad","Self",1,1,0.6229
7304,"mismatch","Good","Self",0,0,0.597
7304,"mismatch","Bad","Other",0,1,0.7612
7304,"match","Bad","Other",1,0,0.6112
7304,"mismatch","Good","Self",0,0,0.7074
7304,"match","Good","Self",1,1,0.5754
7304,"mismatch","Good","Other",0,0,0.9195
7304,"match","Bad","Self",1,1,0.6337
7304,"match","Good","Self",1,1,0.7498
7304,"match","Good","Other",1,1,0.6819
7304,"mismatch","Good","Self",0,1,0.412
7304,"match","Bad","Other",1,0,0.6201
7304,"match","Bad","Self",1,1,0.7542
7304,"mismatch","Bad","Other",0,1,0.7904
7304,"match","Good","Other",1,1,0.6825
7304,"mismatch","Good","Self",0,0,0.5885
7304,"mismatch","Good","Other",0,1,0.7607
7304,"match","Bad","Self",1,1,0.6188
7304,"mismatch","Bad","Self",0,1,0.9849
7304,"match","Bad","Other",1,1,0.9591
7304,"match","Good","Other",1,0,0.8971
7304,"match","Bad","Self",1,1,0.7594
7304,"mismatch","Bad","Other",0,0,0.7855
7304,"match","Good","Self",1,1,0.5276
7304,"mismatch","Good","Other",0,1,0.8717
7304,"match","Good","Self",1,1,0.4998
7304,"mismatch","Good","Self",0,0,0.8979
7304,"mismatch","Bad","Self",0,1,0.8
7304,"match","Good","Self",1,1,0.5782
7304,"mismatch","Bad","Self",0,0,0.7762
7304,"mismatch","Bad","Other",0,1,0.7924
7304,"mismatch","Good","Other",0,1,0.5726
7304,"match","Bad","Other",1,1,0.8526
7304,"match","Good","Other",1,0,0.6608
7304,"mismatch","Bad","Self",0,0,0.8517
7304,"match","Bad","Other",1,1,0.7318
7304,"mismatch","Good","Other",0,0,0.7239
7304,"match","Good","Self",1,1,0.5501
7304,"match","Bad","Self",1,1,0.9543
7304,"match","Bad","Other",1,1,0.9184
7304,"match","Good","Other",1,1,0.7604
7304,"mismatch","Good","Other",0,0,0.6986
7304,"mismatch","Good","Self",0,0,0.7847
7304,"mismatch","Good","Other",0,1,0.5588
7304,"mismatch","Bad","Self",0,0,0.7849
7304,"mismatch","Good","Self",0,1,0.631
7304,"mismatch","Bad","Self",0,0,0.8032
7304,"match","Good","Other",1,1,0.8693
7304,"match","Good","Self",1,1,0.6174
7304,"match","Bad","Other",1,1,0.8956
7304,"match","Bad","Self",1,1,0.6877
7304,"match","Bad","Self",1,0,0.5997
7304,"match","Good","Self",1,1,0.578
7304,"mismatch","Bad","Other",0,0,0.84
7304,"mismatch","Bad","Other",0,1,0.6981
7304,"mismatch","Bad","Other",0,0,0.7442
7304,"mismatch","Good","Self",0,0,0.8383
7304,"match","Good","Other",1,1,0.8884
7304,"mismatch","Good","Other",0,0,0.7686
7304,"mismatch","Bad","Other",0,1,0.6928
7304,"mismatch","Good","Other",0,1,0.845
7304,"mismatch","Bad","Self",0,0,0.9511
7304,"match","Good","Other",1,0,0.7312
7304,"match","Good","Self",1,1,0.5393
7304,"match","Bad","Self",1,0,0.7455
7304,"match","Good","Other",1,1,0.7196
7304,"mismatch","Good","Self",0,0,0.7936
7304,"mismatch","Bad","Self",0,1,0.9178
7304,"match","Good","Self",1,1,0.5279
7304,"match","Good","Other",1,1,0.96
7304,"match","Bad","Self",1,1,0.6501
7304,"mismatch","Good","Other",0,0,0.6902
7304,"match","Bad","Other",1,1,0.6664
7304,"mismatch","Good","Self",0,0,0.9445
7304,"mismatch","Bad","Self",0,0,0.7826
7304,"match","Bad","Other",1,1,0.8048
7304,"match","Good","Self",1,1,0.6228
7304,"match","Bad","Other",1,0,0.565
